accelerometer-icm20690,invensense,2020-02-18_14-18-28.815_865914035260724
timestamp,accuracy(more=better),acc_x[m/s^2],acc_y[m/s^2],acc_z[m/s^2]
172029867,3,0.11492168,0.31603462,9.80665
172029869,3,0.12449849,0.31603462,9.80665
172029871,3,0.11492168,0.31603462,9.797073
172029873,3,0.11492168,0.31603462,9.797073
172029875,3,0.11492168,0.31603462,9.797073
172029877,3,0.11492168,0.31603462,9.797073
172029879,3,0.11492168,0.31603462,9.797073
172029881,3,0.11492168,0.31603462,9.816227
172029883,3,0.10534488,0.30645782,9.816227
172029885,3,0.095768064,0.2873042,9.835381
172029887,3,0.076614454,0.25857377,9.873688
172029889,3,0.095768064,0.2681506,9.854534
172029891,3,0.10534488,0.2777274,9.854534
172029893,3,0.10534488,0.2873042,9.854534
172029895,3,0.10534488,0.2873042,9.854534
172029897,3,0.10534488,0.29688102,9.854534
172029899,3,0.11492168,0.29688102,9.854534
172029901,3,0.11492168,0.29688102,9.854534
172029903,3,0.11492168,0.29688102,9.854534
172029905,3,0.11492168,0.29688102,9.873688
172029907,3,0.11492168,0.29688102,9.873688
172029909,3,0.11492168,0.29688102,9.873688
172029911,3,0.11492168,0.29688102,9.873688
172029913,3,0.11492168,0.29688102,9.873688
172029915,3,0.11492168,0.29688102,9.873688
172029917,3,0.11492168,0.30645782,9.873688
172029919,3,0.11492168,0.30645782,9.854534
172029921,3,0.11492168,0.30645782,9.854534
172029923,3,0.11492168,0.30645782,9.854534
172029925,3,0.11492168,0.30645782,9.854534
172029927,3,0.11492168,0.30645782,9.854534
172029929,3,0.11492168,0.30645782,9.864111
172029931,3,0.095768064,0.30645782,9.854534
172029933,3,0.095768064,0.30645782,9.864111
172029935,3,0.095768064,0.30645782,9.873688
172029937,3,0.095768064,0.30645782,9.892841
172029939,3,0.095768064,0.30645782,9.892841
172029941,3,0.10534488,0.30645782,9.892841
172029943,3,0.10534488,0.30645782,9.892841
172029945,3,0.10534488,0.30645782,9.892841
172029947,3,0.10534488,0.30645782,9.873688
172029949,3,0.10534488,0.30645782,9.873688
172029951,3,0.10534488,0.30645782,9.873688
172029953,3,0.10534488,0.30645782,9.873688
172029955,3,0.10534488,0.30645782,9.873688
172029957,3,0.10534488,0.30645782,9.873688
172029959,3,0.10534488,0.30645782,9.873688
172029961,3,0.10534488,0.30645782,9.873688
