gyroscope-icm20690,invensense,2020-02-18_14-18-28.815_865914035260724
timestamp,accuracy(more=better),ang_vel_x[rad/s],ang_vel_y[rad/s],ang_vel_z[rad/s]
172029964,3,2.7925268E-4,-0.0014835298,-0.001012291
172029966,3,-7.6794485E-4,-4.1887903E-4,3.4906585E-5
172029968,3,-7.6794485E-4,-0.0014835298,3.4906585E-5
172029970,3,-7.6794485E-4,-4.1887903E-4,3.4906585E-5
172029972,3,2.7925268E-4,6.283185E-4,3.4906585E-5
172029974,3,0.0024085543,-4.1887903E-4,0.0010995574
172029976,3,0.0013439035,-0.0014835298,0.0021642083
172029978,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172029980,3,0.0013439035,-4.1887903E-4,-0.001012291
172029982,3,0.0013439035,-4.1887903E-4,-0.001012291
172029984,3,0.0013439035,6.283185E-4,0.0010995574
172029986,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172029988,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172029990,3,0.0013439035,-0.0014835298,3.4906585E-5
172029992,3,-7.6794485E-4,-0.0014835298,-0.001012291
172029994,3,2.7925268E-4,6.283185E-4,-0.001012291
172029996,3,2.7925268E-4,6.283185E-4,-0.001012291
172029998,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030000,3,2.7925268E-4,-4.1887903E-4,-0.0020769418
172030002,3,0.0013439035,-4.1887903E-4,-0.0020769418
172030004,3,2.7925268E-4,6.283185E-4,0.0010995574
172030006,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172030008,3,-7.6794485E-4,-4.1887903E-4,3.4906585E-5
172030010,3,0.0013439035,-0.0025481808,3.4906585E-5
172030012,3,0.0013439035,-4.1887903E-4,0.0010995574
172030014,3,-7.6794485E-4,-4.1887903E-4,0.0010995574
172030016,3,-7.6794485E-4,-0.0014835298,0.0010995574
172030018,3,2.7925268E-4,-4.1887903E-4,0.0021642083
172030020,3,-7.6794485E-4,-4.1887903E-4,-0.001012291
172030022,3,-7.6794485E-4,6.283185E-4,-0.0020769418
172030024,3,0.0013439035,6.283185E-4,3.4906585E-5
172030026,3,0.0013439035,6.283185E-4,3.4906585E-5
172030028,3,0.0013439035,6.283185E-4,3.4906585E-5
172030030,3,0.0013439035,-0.0014835298,-0.001012291
172030032,3,0.0013439035,-0.0014835298,3.4906585E-5
172030034,3,0.0024085543,-0.0014835298,3.4906585E-5
172030036,3,0.0013439035,-0.0025481808,-0.001012291
172030038,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030040,3,0.0013439035,6.283185E-4,3.4906585E-5
172030042,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172030044,3,0.0024085543,6.283185E-4,-0.001012291
172030046,3,0.0013439035,-4.1887903E-4,-0.001012291
172030048,3,2.7925268E-4,6.283185E-4,3.4906585E-5
172030050,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030052,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030054,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172030056,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172030058,3,0.0013439035,-0.0014835298,-0.001012291
172030060,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030062,3,2.7925268E-4,-4.1887903E-4,0.0010995574
172030064,3,2.7925268E-4,-4.1887903E-4,-0.0020769418
172030066,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030068,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030070,3,0.0013439035,6.283185E-4,-0.001012291
172030072,3,2.7925268E-4,-0.0014835298,-0.0020769418
172030074,3,2.7925268E-4,-0.0014835298,0.0010995574
172030076,3,2.7925268E-4,-0.0014835298,0.0010995574
172030078,3,0.0013439035,6.283185E-4,3.4906585E-5
172030080,3,0.0034732053,-0.0014835298,-0.0020769418
172030082,3,0.0024085543,-0.0014835298,-0.001012291
172030084,3,0.0024085543,-4.1887903E-4,-0.001012291
172030086,3,0.0013439035,-4.1887903E-4,-0.0020769418
172030088,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030090,3,0.0024085543,6.283185E-4,3.4906585E-5
172030092,3,0.0024085543,-4.1887903E-4,0.0010995574
172030094,3,-7.6794485E-4,-0.0014835298,-0.001012291
172030096,3,-0.0018325957,-0.0014835298,-0.0020769418
172030098,3,-7.6794485E-4,-4.1887903E-4,0.0010995574
172030100,3,2.7925268E-4,6.283185E-4,0.0010995574
172030102,3,2.7925268E-4,-0.0014835298,0.0010995574
172030104,3,-7.6794485E-4,-4.1887903E-4,-0.001012291
172030106,3,2.7925268E-4,6.283185E-4,-0.0020769418
172030108,3,0.0024085543,0.0016929694,-0.001012291
172030110,3,0.0024085543,-0.0014835298,-0.001012291
172030112,3,0.0013439035,6.283185E-4,-0.001012291
172030114,3,2.7925268E-4,-0.0025481808,3.4906585E-5
172030116,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030118,3,-0.0018325957,-0.0014835298,-0.001012291
172030120,3,-0.0018325957,-0.0014835298,-0.001012291
172030122,3,-7.6794485E-4,-0.0014835298,-0.001012291
172030124,3,2.7925268E-4,0.0016929694,-0.0020769418
172030126,3,0.0013439035,0.0016929694,-0.001012291
172030128,3,0.0013439035,-0.0025481808,0.0010995574
172030130,3,0.0024085543,-4.1887903E-4,0.0010995574
172030132,3,0.004537856,6.283185E-4,-0.001012291
172030134,3,0.0013439035,6.283185E-4,-0.001012291
172030136,3,0.0013439035,6.283185E-4,-0.001012291
172030138,3,0.0034732053,-0.0014835298,3.4906585E-5
172030140,3,0.0034732053,-0.0025481808,-0.001012291
172030142,3,2.7925268E-4,-0.0025481808,-0.001012291
172030144,3,-7.6794485E-4,6.283185E-4,-0.001012291
172030146,3,-7.6794485E-4,-4.1887903E-4,3.4906585E-5
172030148,3,-7.6794485E-4,-4.1887903E-4,3.4906585E-5
172030150,3,-7.6794485E-4,-0.0014835298,3.4906585E-5
172030152,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030154,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030156,3,0.0013439035,6.283185E-4,-0.001012291
172030158,3,0.0034732053,-4.1887903E-4,3.4906585E-5
172030160,3,0.0034732053,-4.1887903E-4,3.4906585E-5
172030162,3,0.0024085543,-4.1887903E-4,0.0010995574
172030164,3,0.0013439035,-0.0014835298,-0.0020769418
172030166,3,0.0013439035,-0.0014835298,-0.001012291
172030168,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030170,3,0.0013439035,-4.1887903E-4,0.0010995574
172030172,3,-7.6794485E-4,-0.0014835298,0.0010995574
172030174,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172030176,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030178,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030180,3,-7.6794485E-4,-4.1887903E-4,3.4906585E-5
172030182,3,0.0013439035,6.283185E-4,3.4906585E-5
172030184,3,0.0024085543,-0.0025481808,0.003228859
172030186,3,0.0013439035,-0.0025481808,0.0021642083
172030188,3,0.0024085543,-4.1887903E-4,0.0010995574
172030190,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030192,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030194,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030196,3,0.0013439035,-4.1887903E-4,0.0010995574
172030198,3,-0.0028972465,6.283185E-4,3.4906585E-5
172030200,3,-7.6794485E-4,6.283185E-4,-0.001012291
172030202,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030204,3,0.0013439035,-4.1887903E-4,-0.0020769418
172030206,3,0.0013439035,6.283185E-4,-0.001012291
172030208,3,0.0013439035,6.283185E-4,3.4906585E-5
172030210,3,0.0013439035,-0.0014835298,-0.001012291
172030212,3,0.0024085543,-0.0014835298,-0.001012291
172030214,3,0.0024085543,-0.0014835298,-0.001012291
172030216,3,0.0013439035,-0.0014835298,-0.001012291
172030218,3,0.0013439035,-0.0014835298,-0.001012291
172030220,3,2.7925268E-4,-0.0025481808,-0.001012291
172030222,3,2.7925268E-4,6.283185E-4,3.4906585E-5
172030224,3,2.7925268E-4,-0.0014835298,-0.001012291
172030226,3,-7.6794485E-4,-4.1887903E-4,-0.001012291
172030228,3,-0.0018325957,-4.1887903E-4,-0.001012291
172030230,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030232,3,2.7925268E-4,-4.1887903E-4,-0.0031415927
172030234,3,0.0013439035,6.283185E-4,3.4906585E-5
172030236,3,0.0013439035,-0.0014835298,3.4906585E-5
172030238,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030240,3,0.0024085543,-4.1887903E-4,-0.001012291
172030242,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030244,3,2.7925268E-4,-0.0025481808,3.4906585E-5
172030246,3,-7.6794485E-4,-0.0014835298,-0.0020769418
172030248,3,-7.6794485E-4,-4.1887903E-4,3.4906585E-5
172030250,3,0.0024085543,6.283185E-4,3.4906585E-5
172030252,3,0.0013439035,6.283185E-4,3.4906585E-5
172030254,3,-7.6794485E-4,-0.0025481808,-0.0031415927
172030256,3,-7.6794485E-4,-4.1887903E-4,-0.0031415927
172030258,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030260,3,0.0013439035,-0.0014835298,3.4906585E-5
172030262,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030264,3,-7.6794485E-4,-0.0014835298,3.4906585E-5
172030266,3,0.0013439035,-4.1887903E-4,3.4906585E-5
172030268,3,0.0013439035,-0.0014835298,0.0010995574
172030270,3,2.7925268E-4,-0.0025481808,0.003228859
172030272,3,0.0013439035,-4.1887903E-4,0.0021642083
172030274,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030276,3,-7.6794485E-4,-4.1887903E-4,-0.001012291
172030278,3,2.7925268E-4,6.283185E-4,-0.001012291
172030280,3,-0.0028972465,0.0016929694,0.0010995574
172030282,3,-0.0018325957,6.283185E-4,-0.001012291
172030284,3,0.0013439035,-0.0014835298,-0.001012291
172030286,3,0.0024085543,-4.1887903E-4,-0.001012291
172030288,3,0.0013439035,-4.1887903E-4,-0.001012291
172030290,3,0.0013439035,-0.0014835298,-0.001012291
172030292,3,0.0024085543,-0.0014835298,3.4906585E-5
172030294,3,0.0013439035,-0.0014835298,-0.001012291
172030296,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172030298,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030300,3,2.7925268E-4,-4.1887903E-4,3.4906585E-5
172030302,3,0.0013439035,-4.1887903E-4,0.0010995574
172030304,3,2.7925268E-4,6.283185E-4,-0.001012291
172030306,3,0.0013439035,0.0016929694,0.0010995574
172030308,3,2.7925268E-4,6.283185E-4,3.4906585E-5
172030310,3,2.7925268E-4,-0.0014835298,3.4906585E-5
172030312,3,2.7925268E-4,-4.1887903E-4,-0.001012291
172030314,3,0.0013439035,-0.0025481808,-0.001012291
172030316,3,0.0024085543,-0.0025481808,-0.001012291
172030318,3,0.0024085543,-0.0025481808,-0.001012291
